id,sourceid,targetid,relation,prefixrelation
225,R1699050600,P1203,creator,dcterms:creator
226,R1699051101,P0427,creator,dcterms:creator
227,R1699051102,P0427,creator,dcterms:creator
228,R1699060800,P1203,creator,dcterms:creator
229,R1699061700,P1203,creator,dcterms:creator
230,R1699072001L,P1203,creator,dcterms:creator
231,R1699072002L,P2044,creator,dcterms:creator
232,R1699072003L,P0864,creator,dcterms:creator
233,R1699072004L,P2044,creator,dcterms:creator
234,R1699072500L,P1203,creator,dcterms:creator
235,R1699072600L,P1203,creator,dcterms:creator
236,R1699082000,P1203,creator,dcterms:creator
