id,sourceid,targetid,relation,prefixrelation
184,N1692031606,T32,isRelatedTo,edm:isRelatedTo
185,N1692031801,T25,isRelatedTo,edm:isRelatedTo
186,N1692031801,T31,isRelatedTo,edm:isRelatedTo
187,N1692031801,T68,isRelatedTo,edm:isRelatedTo
188,N1692031802,T10,isRelatedTo,edm:isRelatedTo
189,N1692031901,T25,isRelatedTo,edm:isRelatedTo
190,N1692031902,T14,isRelatedTo,edm:isRelatedTo
191,N1692031903,T25,isRelatedTo,edm:isRelatedTo
192,N1692032001,T14,isRelatedTo,edm:isRelatedTo
193,N1692032002,T14,isRelatedTo,edm:isRelatedTo
194,N1692032003,T14,isRelatedTo,edm:isRelatedTo
195,N1692032100,T51,isRelatedTo,edm:isRelatedTo
196,N1692032201,T51,isRelatedTo,edm:isRelatedTo
197,N1692032202,T14,isRelatedTo,edm:isRelatedTo
198,N1692032203,T53,isRelatedTo,edm:isRelatedTo
199,N1692032203,T38,isRelatedTo,edm:isRelatedTo
200,N1692032203,T35,isRelatedTo,edm:isRelatedTo
201,N1692032301,T51,isRelatedTo,edm:isRelatedTo
202,N1692032302,T01,isRelatedTo,edm:isRelatedTo
203,N1692032302,T14,isRelatedTo,edm:isRelatedTo
204,N1692032302,T04,isRelatedTo,edm:isRelatedTo
205,N1692032303,T38,isRelatedTo,edm:isRelatedTo
206,N1692032303,T07,isRelatedTo,edm:isRelatedTo
207,N1692032304,T14,isRelatedTo,edm:isRelatedTo
208,N1692032401,T16,isRelatedTo,edm:isRelatedTo
209,N1692032402,T51,isRelatedTo,edm:isRelatedTo
210,N1692032403,T14,isRelatedTo,edm:isRelatedTo
211,N1692032404,T14,isRelatedTo,edm:isRelatedTo
212,N1692032405,T14,isRelatedTo,edm:isRelatedTo
213,N1692032406,T14,isRelatedTo,edm:isRelatedTo
214,N1692032406,T52,isRelatedTo,edm:isRelatedTo
215,N1692032501,T04,isRelatedTo,edm:isRelatedTo
216,N1692032502,T33,isRelatedTo,edm:isRelatedTo
217,N1692032503,T51,isRelatedTo,edm:isRelatedTo
218,N1692032601,T51,isRelatedTo,edm:isRelatedTo
219,N1692032602,T14,isRelatedTo,edm:isRelatedTo
220,N1692032602,T04,isRelatedTo,edm:isRelatedTo
221,N1692032603,T14,isRelatedTo,edm:isRelatedTo
222,N1692032604,T14,isRelatedTo,edm:isRelatedTo
223,N1692032605,T58,isRelatedTo,edm:isRelatedTo
224,N1692032701,T51,isRelatedTo,edm:isRelatedTo
225,N1692032702,T14,isRelatedTo,edm:isRelatedTo
226,N1692032703,T35,isRelatedTo,edm:isRelatedTo
227,N1692032704,T51,isRelatedTo,edm:isRelatedTo
228,N1692032704,T10,isRelatedTo,edm:isRelatedTo
229,N1692032705,T68,isRelatedTo,edm:isRelatedTo
230,N1692032705,T25,isRelatedTo,edm:isRelatedTo
231,N1692032705,T11,isRelatedTo,edm:isRelatedTo
232,N1692032706,T22,isRelatedTo,edm:isRelatedTo
233,N1692032706,T24,isRelatedTo,edm:isRelatedTo
234,N1692032801,T14,isRelatedTo,edm:isRelatedTo
235,N1692032801,T04,isRelatedTo,edm:isRelatedTo
236,N1692032802,T14,isRelatedTo,edm:isRelatedTo
237,N1692032802,T05,isRelatedTo,edm:isRelatedTo
238,N1692032803,T14,isRelatedTo,edm:isRelatedTo
239,N1692032804,T14,isRelatedTo,edm:isRelatedTo
240,N1692032901,T38,isRelatedTo,edm:isRelatedTo
241,N1692032902,T14,isRelatedTo,edm:isRelatedTo
242,N1692032903,T14,isRelatedTo,edm:isRelatedTo
243,N1692032904,T14,isRelatedTo,edm:isRelatedTo
244,N1692032905,T04,isRelatedTo,edm:isRelatedTo
245,N1692033001,T14,isRelatedTo,edm:isRelatedTo
246,N1692033002,T14,isRelatedTo,edm:isRelatedTo
247,N1692040301,T07,isRelatedTo,edm:isRelatedTo
248,N1692040302,T04,isRelatedTo,edm:isRelatedTo
249,N1692040303,T36,isRelatedTo,edm:isRelatedTo
250,N1692040303,T01,isRelatedTo,edm:isRelatedTo
251,N1692040304,T14,isRelatedTo,edm:isRelatedTo
252,N1692040305,T42,isRelatedTo,edm:isRelatedTo
253,N1692040401,T47,isRelatedTo,edm:isRelatedTo
254,N1692040401,T14,isRelatedTo,edm:isRelatedTo
255,N1692040402,T14,isRelatedTo,edm:isRelatedTo
256,N1692040501,T14,isRelatedTo,edm:isRelatedTo
257,N1692040502,T42,isRelatedTo,edm:isRelatedTo
258,N1692040601,T14,isRelatedTo,edm:isRelatedTo
259,N1692040602,T14,isRelatedTo,edm:isRelatedTo
260,N1692040603,T68,isRelatedTo,edm:isRelatedTo
261,N1692040604,T14,isRelatedTo,edm:isRelatedTo
