id,sourceid,targetid,relation,prefixrelation
231,N1694101701,P0055,mentions,ekc:mentions
232,N1695010401,P0055,mentions,ekc:mentions
233,N1695012703,P0055,mentions,ekc:mentions
234,N1695012901,P0055,mentions,ekc:mentions
235,N1695012902,P0055,mentions,ekc:mentions
236,N1695030402,P0055,mentions,ekc:mentions
237,N1695041004,P0055,mentions,ekc:mentions
238,N1695091804,P0055,mentions,ekc:mentions
239,N1695100701,P0055,mentions,ekc:mentions
240,N1696022301,P0055,mentions,ekc:mentions
241,N1696031801,P0055,mentions,ekc:mentions
242,N1696031803,P0055,mentions,ekc:mentions
243,N1696042301,P0055,mentions,ekc:mentions
244,N1696072002,P0055,mentions,ekc:mentions
245,N1696090802,P0055,mentions,ekc:mentions
246,N1696102302,P0055,mentions,ekc:mentions
247,N1697010303,P0055,mentions,ekc:mentions
248,N1697031802,P0055,mentions,ekc:mentions
249,N1697032404L,P0055,mentions,ekc:mentions
250,N1697042201,P0055,mentions,ekc:mentions
251,N1697062901,P0055,mentions,ekc:mentions
252,N1697091300,P0055,mentions,ekc:mentions
253,N1698051803,P0055,mentions,ekc:mentions
254,N1698051805,P0055,mentions,ekc:mentions
255,N1698022301,P0056,mentions,ekc:mentions
256,N1698023001,P0056,mentions,ekc:mentions
257,N1698023005,P0056,mentions,ekc:mentions
258,N1698030102,P0056,mentions,ekc:mentions
259,N1698091201,P0056,mentions,ekc:mentions
260,N1693101005,P0057,mentions,ekc:mentions
261,N1693101103,P0057,mentions,ekc:mentions
262,N1693101507,P0057,mentions,ekc:mentions
263,N1693102301,P0057,mentions,ekc:mentions
264,N1693102407,P0057,mentions,ekc:mentions
265,N1693102508,P0057,mentions,ekc:mentions
266,N1698031304,P0058,mentions,ekc:mentions
267,N1693082904,P0059,mentions,ekc:mentions
268,N1696122603,P0060,mentions,ekc:mentions
269,N1695112804,P0061,mentions,ekc:mentions
270,N1695072203,P0062,mentions,ekc:mentions
271,N1695072301,P0062,mentions,ekc:mentions
272,N1695110303,P0062,mentions,ekc:mentions
273,N1695110403,P0062,mentions,ekc:mentions
274,N1696011604,P0062,mentions,ekc:mentions
275,N1696081001,P0062,mentions,ekc:mentions
276,N1696082606,P0062,mentions,ekc:mentions
277,N1696120702,P0062,mentions,ekc:mentions
278,N1697012604,P0062,mentions,ekc:mentions
279,N1697032904L,P0062,mentions,ekc:mentions
280,N1698042102,P0063,mentions,ekc:mentions
281,N1693082904,P0064,mentions,ekc:mentions
282,N1695030703,P0065,mentions,ekc:mentions
283,N1695030703,P0066,mentions,ekc:mentions
284,N1698080702,P0066,mentions,ekc:mentions
285,N1696061102,P0067,mentions,ekc:mentions
286,N1693101903,P0068,mentions,ekc:mentions
287,N1694051403,P0068,mentions,ekc:mentions
288,N1694052307,P0068,mentions,ekc:mentions
289,N1694080801,P0068,mentions,ekc:mentions
290,N1694091703,P0068,mentions,ekc:mentions
291,N1694110103,P0068,mentions,ekc:mentions
292,N1695010303,P0068,mentions,ekc:mentions
293,N1695020601,P0068,mentions,ekc:mentions
294,N1695030304,P0068,mentions,ekc:mentions
295,N1695100701,P0068,mentions,ekc:mentions
296,N1695100702,P0068,mentions,ekc:mentions
297,N1695100703,P0068,mentions,ekc:mentions
298,N1695100801,P0068,mentions,ekc:mentions
299,N1695112101,P0068,mentions,ekc:mentions
300,N1696030105,P0068,mentions,ekc:mentions
301,N1693061201,P0069,mentions,ekc:mentions
302,N1695012903,P0069,mentions,ekc:mentions
303,N1695013002,P0069,mentions,ekc:mentions
304,N1695021203,P0069,mentions,ekc:mentions
305,N1695021301,P0069,mentions,ekc:mentions
306,N1695080603,P0069,mentions,ekc:mentions
307,N1696080202,P0069,mentions,ekc:mentions
308,N1697050601,P0069,mentions,ekc:mentions
309,N1697092602,P0069,mentions,ekc:mentions
310,N1698051801,P0069,mentions,ekc:mentions
311,N1699032704,P0069,mentions,ekc:mentions
312,N1695060608,P0070,mentions,ekc:mentions
313,N1693101105,P0071,mentions,ekc:mentions
314,N1697012604,P0073,mentions,ekc:mentions
315,N1697032904L,P0073,mentions,ekc:mentions
316,N1697040102,P0073,mentions,ekc:mentions
317,N1697040502,P0073,mentions,ekc:mentions
318,N1697040602,P0073,mentions,ekc:mentions
319,N1699081901,P0073,mentions,ekc:mentions
320,N1699082702,P0073,mentions,ekc:mentions
321,N1694082904,P0074,mentions,ekc:mentions
322,N1694082904,P0075,mentions,ekc:mentions
323,N1693101105,P0076,mentions,ekc:mentions
324,N1693101206,P0076,mentions,ekc:mentions
325,N1693011503,P0077,mentions,ekc:mentions
326,N1693111902,P0077,mentions,ekc:mentions
327,N1694080101,P0077,mentions,ekc:mentions
328,N1694082104,P0077,mentions,ekc:mentions
329,N1694101203,P0077,mentions,ekc:mentions
330,N1695010902,P0077,mentions,ekc:mentions
331,N1695080603,P0077,mentions,ekc:mentions
332,N1695090403,P0077,mentions,ekc:mentions
